distance between subsequent peaks,65.1V,66.3V,66.0V,65.7V,65.4V
1,30.0,16.0,17,21.0,47.0
2,27.0,29.0,16,15.0,35.0
3,26.0,26.0,53,48.0,32.0
4,21.0,16.0,17,26.0,26.0
5,20.0,28.0,15,15.0,15.0
6,17.0,16.0,16,28.0,15.0
7,18.0,19.0,16,15.0,18.0
8,19.0,20.0,18,24.0,16.0
9,20.0,15.0,15,19.0,19.0
10,17.0,15.0,16,15.0,16.0
11,21.0,16.0,15,17.0,17.0
12,,16.0,16,17.0,24.0
13,,21.0,18,17.0,15.0
14,,16.0,15,16.0,19.0
15,,19.0,18,15.0,
16,,17.0,15,22.0,
17,,16.0,17,17.0,
18,,16.0,18,21.0,
19,,16.0,16,,
20,,17.0,15,,
21,,,15,,
