index of peaks,65.1V gain,66.3V gain,66.0V gain,65.7V gain,65.4V gain
1,30.0,16.0,17.0,15,47.0
2,27.0,29.0,16.0,15,35.0
3,26.0,26.0,53.0,43,32.0
4,21.0,16.0,17.0,35,26.0
5,20.0,28.0,15.0,29,15.0
6,17.0,16.0,16.0,15,15.0
7,18.0,19.0,16.0,15,18.0
8,19.0,20.0,18.0,18,16.0
9,20.0,15.0,15.0,15,19.0
10,17.0,15.0,16.0,17,16.0
11,21.0,16.0,15.0,15,17.0
12,,16.0,16.0,15,24.0
13,,21.0,18.0,15,15.0
14,,16.0,15.0,18,19.0
15,,19.0,18.0,15,
16,,17.0,15.0,19,
17,,16.0,17.0,15,
18,,16.0,18.0,20,
19,,16.0,16.0,21,
20,,17.0,15.0,15,
21,,,15.0,48,
22,,,,26,
23,,,,15,
24,,,,28,
25,,,,15,
26,,,,24,
27,,,,19,
28,,,,15,
29,,,,17,
30,,,,17,
31,,,,17,
32,,,,16,
33,,,,15,
34,,,,22,
35,,,,17,
36,,,,21,
