Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.6,1.6,1,45,371.75647072638816,N/A
65.6,1.6,2,75,1598.3275921526356,30
65.6,1.6,3,108,3430.14638634235,33
65.6,1.6,4,139,5106.390360656016,31
65.6,1.6,5,171,5883.171734350815,32
65.6,1.6,6,203,5481.024474387439,32
65.6,1.6,7,235,4423.470660669118,32
65.6,1.6,8,266,3106.713993852523,31
65.6,1.6,9,298,1935.6687608079765,32
65.6,1.6,10,324,1121.7775361574047,26
65.6,1.6,11,353,614.8987983590878,29
65.6,1.6,12,389,294.23704801527276,36
65.6,1.6,13,407,205.37171413454172,18
65.6,1.6,14,425,125.59760739007879,18
